Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
SMOP -  Gabinete do Secretario de Ordem Pública;15001;1;Serviço;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;44500;Contratação de psicólogo para emissão de laudos de porte de arma para Guarda Municipal. PCA - PLANO DE CONTRATAÇÃO ANUAL.;UNIDADE;300,0000;342,0000;102600,0000;0,0000;01/10/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;2;Serviço;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;44501;Contratação de psiquiatra para emissão de laudos de porte de arma para Guarda Municipal. PCA - PLANO DE CONTRATAÇÃO ANUAL.;UNIDADE;200,0000;218,1400;43628,0000;43628,0000;01/10/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;3;Material;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;21949;Serviço de selagem cronotacógrafos. Conforme termo de referência.;UNIDADE;4,0000;78,5600;314,2400;314,2400;01/11/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;4;Material;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;21950;Serviço de ensaio cronotacógrafos . Conforme termo de referência.;UNIDADE;4,0000;163,6800;654,7200;654,7200;01/11/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;5;Material;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;21951;Serviço de revisão e ajuste de tacógrafos. Conforme termo de referência.;UNIDADE;4,0000;87,7500;351,0000;351,0000;01/11/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;6;Serviço;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;43617;Emissão e validação de Certificado Digital ICP Brasil, tipo A3 (incluindo token), para os servidores (e-CPF) que não possuem token (validade 36 meses).;UNIDADE;5,0000;107,7100;538,5500;538,5500;01/06/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;7;Serviço;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;43618;Emissão e validação de Certificado Digital ICP Brasil, tipo A1 para os servidores (e-CPF), (validade de 12 meses).;UNIDADE;5,0000;37,4600;187,3000;187,3000;01/06/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;8;Serviço;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;43619;Renovação e validação de Certificado Digital ICP Brasil, tipo A1 para os servidores (e-CPF), (validade de 12 meses).;UNIDADE;5,0000;37,4600;187,3000;187,3000;01/06/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;9;Material;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;42246;contratação de serviço de pintura. PCA - PLANO DE CONTRATAÇÃO ANUAL;METROS QUADRADOS;2000,0000;31,5000;63000,0000;63000,0000;01/03/2027
SMOP -  Gabinete do Secretario de Ordem Pública;15001;10;Material;;;Catálogo do Compras.gov.br;Serviço;1;GENÉRICA;;;15320;Licença de uso e manutençao para o Sistema Audatex Conforme Termo de Referência.;UNIDADE;1,0000;7998,0000;7998,0000;7998,0000;01/05/2027
