Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;165;Material;985529-48/2027;Aquisição de equipamentos e acessorios de informatica;Catálogo do Compras.gov.br;Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;;;;;-;0,0000;0,0000;130000,0000;0,0000;01/06/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;483;Serviço;985529-298/2027;Prestação de serviços terceirizados;Catálogo do Compras.gov.br;Serviço;853;SERVIÇOS DE LIMPEZA;;;;;-;0,0000;0,0000;63000,0000;0,0000;15/03/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;3;Material;985529-4/2027;Aquisição de veiculos;Catálogo do Compras.gov.br;Material;2310;VEÍCULOS MOTORIZADOS DE PASSAGEIROS;;;;;-;0,0000;0,0000;500000,0000;0,0000;15/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;1;Material;985529-4/2027;Aquisição de veiculos;Catálogo do Compras.gov.br;Material;2310;VEÍCULOS MOTORIZADOS DE PASSAGEIROS;14415;VEÍCULO UTILITÁRIO;;;-;0,0000;0,0000;137000,0000;0,0000;15/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;2;Material;985529-4/2027;Aquisição de veiculos;Catálogo do Compras.gov.br;Material;2320;VEÍCULOS SOBRE RODAS;;;;;-;0,0000;0,0000;240000,0000;0,0000;15/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;4;Material;985529-5/2027;Contratação com Consórcios Públicos objetivando aquisição de bens e materiais (carona);Catálogo do Compras.gov.br;Material;2320;VEÍCULOS SOBRE RODAS;;;;;-;0,0000;0,0000;800000,0000;0,0000;30/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;5;Serviço;985529-6/2027;Gerenciamento da manutenção preventiva e corretiva da frota de veículos e máquinas;Catálogo do Compras.gov.br;Material;2940;FILTROS DE AR E DE ÓLEO, ELEMENTOS FILTRANTES E PURIFICADO- RES DE MOTORES, EXCETO DE AERONAVES;;;;;-;0,0000;0,0000;800000,0000;0,0000;15/06/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;6;Serviço;985529-7/2027;Confecção de materiais gráficos e de serigrafia;Catálogo do Compras.gov.br;Material;3610;EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E ENCADERNAÇÃO;;;;;-;0,0000;0,0000;15000,0000;0,0000;30/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;7;Material;985529-8/2027;Aquisição de climatizadores e aparelhos de ar condicionado;Catálogo do Compras.gov.br;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;;;;;-;0,0000;0,0000;90000,0000;0,0000;30/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;8;Material;985529-9/2027;Aquisição e instalação de bebedouros;Catálogo do Compras.gov.br;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;;;;;-;0,0000;0,0000;10000,0000;0,0000;15/12/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;9;Material;985529-10/2027;Aquisição de climatizadores e aparelhos de ar condicionado;Catálogo do Compras.gov.br;Material;4130;COMPONENTES DE EQUIPAMENTOS PARA REFRIGERAÇÃO E AR  CONDICIONADO;;;;;-;0,0000;0,0000;10000,0000;0,0000;10/12/2027
